model,scenario,window,var,delta,baseline_mean,future_mean,n_years_baseline,n_years_future,splice_exp
CNRM-ESM2-1,ssp245,end,logchl,0,-4.60517018598809,-4.60517018598809,25,20,ssp245
GFDL-ESM4,ssp245,end,logchl,0,-4.60517018598809,-4.60517018598809,25,20,ssp245
IPSL-CM6A-LR,ssp245,end,logchl,-0.106188647334781,-0.751376287570721,-0.857564934905502,25,20,ssp245
MPI-ESM1-2-HR,ssp245,end,logchl,0,-4.60517018598809,-4.60517018598809,25,20,ssp245
UKESM1-0-LL,ssp245,end,logchl,0,-4.60517018598809,-4.60517018598809,25,20,ssp245
CNRM-ESM2-1,ssp245,mid,logchl,0,-4.60517018598809,-4.60517018598809,25,20,ssp245
GFDL-ESM4,ssp245,mid,logchl,0,-4.60517018598809,-4.60517018598809,25,20,ssp245
IPSL-CM6A-LR,ssp245,mid,logchl,-0.0591513948381113,-0.751376287570721,-0.810527682408833,25,20,ssp245
MPI-ESM1-2-HR,ssp245,mid,logchl,0,-4.60517018598809,-4.60517018598809,25,20,ssp245
UKESM1-0-LL,ssp245,mid,logchl,0,-4.60517018598809,-4.60517018598809,25,20,ssp245
CESM2,ssp585,end,logchl,0,-4.60517018598809,-4.60517018598809,25,20,ssp585
CNRM-ESM2-1,ssp585,end,logchl,0,-4.60517018598809,-4.60517018598809,25,20,ssp245
GFDL-ESM4,ssp585,end,logchl,0,-4.60517018598809,-4.60517018598809,25,20,ssp245
IPSL-CM6A-LR,ssp585,end,logchl,-0.0940754239195285,-0.751376287570721,-0.84545171149025,25,20,ssp245
MPI-ESM1-2-HR,ssp585,end,logchl,0,-4.60517018598809,-4.60517018598809,25,20,ssp245
UKESM1-0-LL,ssp585,end,logchl,0,-4.60517018598809,-4.60517018598809,25,20,ssp245
CESM2,ssp585,mid,logchl,0,-4.60517018598809,-4.60517018598809,25,20,ssp585
CNRM-ESM2-1,ssp585,mid,logchl,0,-4.60517018598809,-4.60517018598809,25,20,ssp245
GFDL-ESM4,ssp585,mid,logchl,0,-4.60517018598809,-4.60517018598809,25,20,ssp245
IPSL-CM6A-LR,ssp585,mid,logchl,-0.0305074500956178,-0.751376287570721,-0.781883737666339,25,20,ssp245
MPI-ESM1-2-HR,ssp585,mid,logchl,0,-4.60517018598809,-4.60517018598809,25,20,ssp245
UKESM1-0-LL,ssp585,mid,logchl,0,-4.60517018598809,-4.60517018598809,25,20,ssp245
CESM2,ssp245,end,sst,2.14117045986684,15.1954397637618,17.3366102236286,24,20,ssp245
CNRM-ESM2-1,ssp245,end,sst,1.31281044458395,16.6226618010261,17.9354722456101,25,20,ssp245
GFDL-ESM4,ssp245,end,sst,0.746282134507815,15.6247362331713,16.3710183676791,25,20,ssp245
IPSL-CM6A-LR,ssp245,end,sst,1.56296544296183,14.433056029571,15.9960214725328,25,20,ssp245
MPI-ESM1-2-HR,ssp245,end,sst,0.839243453016898,14.4124383484977,15.2516818015146,25,20,ssp245
